generation,population_size,total_concepts,mutation_rate,natural_mutations,safe_triggers,avg_attributes,unique_attributes,inheritance_rate,concept_diversity,timestamp
222,100,4453,0.13145706051439876,10,0,50.23,126,0.97,3.9923187937951234,1741002527.484061
223,100,4467,0.13079977521182679,16,0,50.36,104,0.97,3.9745070385544308,1741002527.5330186
224,100,4482,0.13014577633576765,20,0,50.47,107,0.97,3.9772066378171096,1741002527.6097898
225,100,4505,0.1294950474540888,16,0,50.38,106,0.97,3.976735026284056,1741002527.6502974
226,100,4520,0.12884757221681836,17,0,50.46,107,0.97,3.9781873176444216,1741002527.6902907
227,100,4535,0.12820333435573425,17,0,50.52,105,0.97,3.9757372837374754,1741002527.732817
228,100,4546,0.1275623176839556,15,0,50.74,103,0.97,3.9706718208822487,1741002527.7766283
229,100,4547,0.12692450609553582,17,0,50.95,102,0.97,3.9754479527167774,1741002527.816842
230,100,4554,0.12628988356505813,12,0,51.1,101,0.97,3.981383587103763,1741002527.8856938
231,100,4575,0.12565843414723285,11,0,51.11,97,0.97,3.993547508256801,1741002529.3853273
232,100,4588,0.12503014197649667,14,0,51.15,97,0.97,4.0023528428006525,1741002529.4306784
233,100,4602,0.1244049912666142,20,0,51.3,101,0.97,4.0056575227009406,1741002529.4716892
234,100,4611,0.12378296631028113,14,0,51.53,101,0.97,4.013246498546217,1741002529.5132022
235,100,4639,0.12316405147872972,14,0,51.58,101,0.97,4.030868837827295,1741002529.554885
236,100,4651,0.12254823122133607,7,0,51.52,101,0.97,4.030444966158083,1741002529.6318357
237,100,4672,0.1219354900652294,11,0,51.62,105,0.97,4.040167515937548,1741002529.67471
238,100,4694,0.12132581261490323,11,0,51.7,107,0.97,4.044291579007006,1741002529.7167573
239,100,4691,0.12071918355182872,13,0,52.18,109,0.97,4.056623591678099,1741002529.7585144
240,100,4714,0.12011558763406958,14,0,52.53,113,0.97,4.065249296181638,1741002529.8008807
241,100,4735,0.11951500969589923,17,0,52.84,110,0.97,4.069751282179278,1741002531.2892978
242,100,4751,0.11891743464741973,15,0,52.97,111,0.97,4.076180868228693,1741002531.3800309
243,100,4768,0.11832284747418263,11,0,53.08,104,0.97,4.070544673485379,1741002531.430773
244,100,4791,0.11773123323681173,12,0,53.12,105,0.97,4.0787605714369555,1741002531.4761214
245,100,4799,0.11714257707062765,14,0,53.3,107,0.97,4.079073094015306,1741002531.5212033
246,100,4823,0.11655686418527451,13,0,53.2,107,0.97,4.087576522867097,1741002531.5642414
247,100,4854,0.11597407986434816,8,0,52.99,106,0.97,4.082435755140963,1741002531.6099412
248,100,4876,0.11539420946502642,13,0,52.69,97,0.97,4.046839469867642,1741002531.6845665
249,100,4890,0.11481723841770129,13,0,52.87,98,0.97,4.0538544657641955,1741002531.7287362
250,100,4896,0.11424315222561277,21,0,53.03,103,0.97,4.056454671752198,1741002531.7723637
251,100,4906,0.1136719364644847,15,0,53.26,104,0.97,4.064771925989962,1741002533.271303
252,100,4914,0.11310357678216228,13,0,53.42,102,0.97,4.070046333655886,1741002533.3189602
253,100,4938,0.11253805889825147,12,0,53.5,106,0.97,4.087978878414891,1741002533.3995593
254,100,4954,0.11197536860376021,11,0,53.48,105,0.97,4.089545425362399,1741002533.4437633
255,100,4966,0.11141549176074142,16,0,53.67,102,0.97,4.097777640356487,1741002533.4871268
256,100,4967,0.11085841430193771,12,0,53.92,104,0.97,4.087833846826048,1741002533.5310633
257,100,4984,0.11030412223042801,19,0,54.08,114,0.97,4.099326063826424,1741002533.5750644
258,100,5001,0.10975260161927587,10,0,54.47,115,0.97,4.117433348336997,1741002533.6195414
259,100,5014,0.1092038386111795,12,0,54.85,118,0.97,4.133903004199326,1741002533.6956294
260,100,5030,0.10865781941812361,16,0,55.3,121,0.97,4.137145412127024,1741002533.742447
261,100,5047,0.10811453032103298,10,0,55.54,123,0.97,4.136179466277137,1741002535.2462447
262,100,5057,0.10757395766942782,14,0,55.84,119,0.97,4.1382846484638005,1741002535.297911
263,100,5078,0.10703608788108068,17,0,55.93,116,0.97,4.138611224814142,1741002535.3429074
264,100,5101,0.10650090744167527,10,0,55.96,120,0.97,4.143199561466743,1741002535.3877637
265,100,5128,0.10596840290446691,17,0,56.15,123,0.97,4.156514732815038,1741002535.471877
266,100,5148,0.10543856088994455,13,0,56.22,114,0.97,4.162630690066187,1741002535.5182438
267,100,5157,0.10491136808549484,16,0,56.21,112,0.97,4.167266846633392,1741002535.5646038
268,100,5164,0.10438681124506735,13,0,56.45,114,0.97,4.177465651038798,1741002535.610209
269,100,5160,0.10386487718884202,14,0,56.87,117,0.97,4.1597410951778775,1741002535.6588075
